,losses
0,
0,
0,
0,
0,
0,
0,"tensor(0.5219, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4296, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3533, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3039, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2530, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2148, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1304, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1067, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0661, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0528, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0468, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0436, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0359, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0398, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0441, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0334, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0336, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0373, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0456, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0280, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0376, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0332, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0301, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0344, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0485, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0807, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0392, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0581, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0437, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0550, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0463, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0420, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0567, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0642, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0797, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0742, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0728, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0943, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0752, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0952, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1134, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0847, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0842, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1024, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0633, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1090, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1175, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1592, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1081, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1124, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
