,losses
0,
0,
0,
0,
0,
0,"tensor(0.5300, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4520, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3957, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3122, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2390, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1996, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1629, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1383, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1029, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0960, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0838, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0665, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0575, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0559, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0606, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0566, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0512, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0394, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0372, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0428, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0453, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0435, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0402, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0428, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0539, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0419, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0627, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0631, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0485, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0719, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0412, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0643, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0573, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0558, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1314, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0923, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0768, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1067, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0750, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1072, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0533, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1165, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1122, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1070, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1358, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1287, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1950, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0848, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1354, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1630, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
