,losses
0,
0,
0,
0,
0,
0,"tensor(0.5013, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3758, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2944, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2090, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1550, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1376, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1034, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0841, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0647, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0565, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0521, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0462, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0439, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0346, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0285, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0505, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0343, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0298, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0403, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0523, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0298, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0302, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0564, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0626, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0472, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0604, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0676, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0656, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0565, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0735, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0584, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0530, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0626, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1423, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0915, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0429, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0613, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0598, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0992, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0586, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0692, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0738, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0849, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1531, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0805, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1252, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1382, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1081, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0851, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1131, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
